node_id,x,y,t_0.0,t_60.0,t_120.0,t_180.0,t_240.0,t_300.0,t_360.0,t_420.0,t_480.0,t_540.0,t_600.0,t_660.0,t_720.0,t_780.0,t_840.0,t_900.0,t_960.0,t_1020.0,t_1080.0,t_1140.0,t_1200.0
108,0.060000,0.050000,20.0000,19.9816,19.9314,19.8517,19.7524,19.6427,19.5286,19.4140,19.3006,19.1895,19.0812,18.9759,18.8737,18.7745,18.6783,18.5850,18.4945,18.4069,18.3219,18.2395,18.1597
109,0.065000,0.050000,20.0000,19.9908,19.9654,19.9250,19.8743,19.8180,19.7593,19.7000,19.6411,19.5832,19.5265,19.4711,19.4172,19.3647,19.3135,19.2637,19.2153,19.1682,19.1223,19.0777,19.0343
110,0.070000,0.050000,20.0000,19.9998,19.9990,19.9974,19.9952,19.9923,19.9888,19.9848,19.9805,19.9757,19.9706,19.9653,19.9596,19.9538,19.9477,19.9415,19.9350,19.9285,19.9218,19.9150,19.9081
111,0.075000,0.050000,20.0000,19.9999,19.9995,19.9987,19.9974,19.9956,19.9933,19.9906,19.9874,19.9838,19.9799,19.9757,19.9711,19.9664,19.9613,19.9561,19.9507,19.9450,19.9393,19.9333,19.9273
112,0.080000,0.050000,20.0000,20.0000,19.9998,19.9994,19.9986,19.9975,19.9960,19.9941,19.9918,19.9891,19.9861,19.9827,19.9791,19.9752,19.9710,19.9666,19.9620,19.9572,19.9522,19.9471,19.9418
113,0.085000,0.050000,20.0000,20.0000,19.9999,19.9997,19.9992,19.9985,19.9974,19.9961,19.9943,19.9923,19.9899,19.9872,19.9842,19.9809,19.9774,19.9737,19.9697,19.9656,19.9613,19.9568,19.9522
114,0.090000,0.050000,20.0000,20.0000,19.9999,19.9998,19.9994,19.9989,19.9980,19.9969,19.9955,19.9938,19.9917,19.9894,19.9869,19.9840,19.9810,19.9778,19.9743,19.9707,19.9670,19.9630,19.9590
115,0.000000,0.060000,20.0000,17.5869,16.4501,15.6631,15.0259,14.4687,13.9596,13.4828,13.0301,12.5968,12.1803,11.7790,11.3919,11.0183,10.6575,10.3090,9.9723,9.6471,9.3330,9.0295,8.7362
116,0.005000,0.060000,20.0000,19.0306,18.0876,17.3154,16.6519,16.0543,15.4997,14.9758,14.4759,13.9961,13.5342,13.0889,12.6592,12.2442,11.8435,11.4564,11.0825,10.7213,10.3723,10.0352,9.7095
117,0.010000,0.060000,20.0000,19.6037,19.0083,18.3816,17.7695,17.1793,16.6108,16.0625,15.5334,15.0225,14.5291,14.0526,13.5922,13.1475,12.7179,12.3029,11.9019,11.5145,11.1403,10.7788,10.4295
118,0.015000,0.060000,20.0000,19.8207,19.4477,18.9568,18.4108,17.8456,17.2798,16.7229,16.1795,15.6517,15.1404,14.6457,14.1673,13.7050,13.2582,12.8265,12.4095,12.0065,11.6173,11.2412,10.8778
119,0.020000,0.060000,20.0000,19.8766,19.5760,19.1377,18.6208,18.0687,17.5069,16.9491,16.4024,15.8702,15.3538,14.8539,14.3703,13.9028,13.4510,13.0145,12.5927,12.1852,11.7915,11.4111,11.0436
120,0.025000,0.060000,20.0000,19.8951,19.6341,19.2476,18.7872,18.2924,17.7872,17.2848,16.7918,16.3115,15.8454,15.3940,14.9573,14.5350,14.1269,13.7325,13.3514,12.9832,12.6274,12.2836,11.9515
121,0.030000,0.060000,20.0000,19.9115,19.6870,19.3497,18.9443,18.5061,18.0574,17.6104,17.1712,16.7432,16.3276,15.9250,15.5355,15.1588,14.7946,14.4426,14.1025,13.7738,13.4562,13.1492,12.8526
122,0.035000,0.060000,20.0000,19.9261,19.7353,19.4451,19.0932,18.7111,18.3186,17.9269,17.5418,17.1662,16.8014,16.4479,16.1058,15.7749,15.4550,15.1457,14.8468,14.5578,14.2786,14.0087,13.7478
123,0.040000,0.060000,20.0000,19.9392,19.7798,19.5345,19.2350,18.9083,18.5719,18.2356,17.9047,17.5817,17.2679,16.9638,16.6693,16.3844,16.1089,15.8425,15.5850,15.3360,15.0953,14.8627,14.6378
124,0.045000,0.060000,20.0000,19.9510,19.8210,19.6191,19.3709,19.0990,18.8184,18.5376,18.2609,17.9908,17.7281,17.4735,17.2269,16.9882,16.7573,16.5340,16.3180,16.1092,15.9073,15.7120,15.5232
125,0.050000,0.060000,20.0000,19.9619,19.8597,19.6996,19.5017,19.2843,19.0593,18.8339,18.6116,18.3943,18.1831,17.9781,17.7795,17.5872,17.4011,17.2210,17.0468,16.8782,16.7152,16.5574,16.4049
126,0.055000,0.060000,20.0000,19.9720,19.8963,19.7769,19.6286,19.4651,19.2957,19.1256,18.9578,18.7936,18.6337,18.4785,18.3281,18.1823,18.0411,17.9044,17.7720,17.6438,17.5198,17.3997,17.2834
127,0.060000,0.060000,20.0000,19.9816,19.9314,19.8517,19.7524,19.6427,19.5286,19.4140,19.3006,19.1895,19.0812,18.9759,18.8737,18.7745,18.6783,18.5850,18.4945,18.4069,18.3219,18.2395,18.1597
128,0.065000,0.060000,20.0000,19.9908,19.9654,19.9250,19.8743,19.8180,19.7593,19.7000,19.6411,19.5832,19.5265,19.4711,19.4172,19.3647,19.3135,19.2637,19.2153,19.1682,19.1223,19.0777,19.0343
129,0.070000,0.060000,20.0000,19.9998,19.9990,19.9974,19.9952,19.9923,19.9888,19.9848,19.9805,19.9757,19.9706,19.9653,19.9596,19.9538,19.9477,19.9415,19.9350,19.9285,19.9218,19.9150,19.9081
130,0.075000,0.060000,20.0000,19.9999,19.9995,19.9987,19.9974,19.9956,19.9933,19.9906,19.9874,19.9838,19.9799,19.9757,19.9711,19.9664,19.9613,19.9561,19.9507,19.9450,19.9393,19.9333,19.9273
131,0.080000,0.060000,20.0000,20.0000,19.9998,19.9994,19.9986,19.9975,19.9960,19.9941,19.9918,19.9891,19.9861,19.9827,19.9791,19.9752,19.9710,19.9666,19.9620,19.9572,19.9522,19.9471,19.9418
132,0.085000,0.060000,20.0000,20.0000,19.9999,19.9997,19.9992,19.9985,19.9974,19.9961,19.9943,19.9923,19.9899,19.9872,19.9842,19.9809,19.9774,19.9737,19.9697,19.9656,19.9613,19.9568,19.9522
133,0.090000,0.060000,20.0000,20.0000,19.9999,19.9998,19.9994,19.9989,19.9980,19.9969,19.9955,19.9938,19.9917,19.9894,19.9869,19.9840,19.9810,19.9778,19.9743,19.9707,19.9670,19.9630,19.9590
134,0.000000,0.070000,20.0000,17.5869,16.4501,15.6631,15.0259,14.4687,13.9596,13.4828,13.0301,12.5968,12.1803,11.7790,11.3919,11.0183,10.6575,10.3090,9.9723,9.6471,9.3330,9.0295,8.7362
135,0.005000,0.070000,20.0000,19.0306,18.0876,17.3154,16.6519,16.0543,15.4997,14.9758,14.4759,13.9961,13.5342,13.0889,12.6592,12.2442,11.8435,11.4564,11.0825,10.7213,10.3723,10.0352,9.7095
136,0.010000,0.070000,20.0000,19.6037,19.0083,18.3816,17.7695,17.1793,16.6108,16.0625,15.5334,15.0225,14.5291,14.0526,13.5922,13.1475,12.7179,12.3029,11.9019,11.5145,11.1403,10.7788,10.4295
137,0.015000,0.070000,20.0000,19.8207,19.4477,18.9568,18.4108,17.8456,17.2798,16.7229,16.1795,15.6517,15.1404,14.6457,14.1673,13.7050,13.2582,12.8265,12.4095,12.0065,11.6173,11.2412,10.8778
138,0.020000,0.070000,20.0000,19.8766,19.5760,19.1377,18.6208,18.0687,17.5069,16.9491,16.4024,15.8702,15.3538,14.8539,14.3703,13.9028,13.4510,13.0145,12.5927,12.1852,11.7915,11.4111,11.0436
139,0.025000,0.070000,20.0000,19.8951,19.6341,19.2476,18.7872,18.2924,17.7872,17.2848,16.7918,16.3115,15.8454,15.3940,14.9573,14.5350,14.1269,13.7325,13.3514,12.9832,12.6274,12.2836,11.9515
140,0.030000,0.070000,20.0000,19.9115,19.6870,19.3497,18.9443,18.5061,18.0574,17.6104,17.1712,16.7432,16.3276,15.9250,15.5355,15.1588,14.7946,14.4426,14.1025,13.7738,13.4562,13.1492,12.8526
141,0.035000,0.070000,20.0000,19.9261,19.7353,19.4451,19.0932,18.7111,18.3186,17.9269,17.5418,17.1662,16.8014,16.4479,16.1058,15.7749,15.4550,15.1457,14.8468,14.5578,14.2786,14.0087,13.7478
142,0.040000,0.070000,20.0000,19.9392,19.7798,19.5345,19.2350,18.9083,18.5719,18.2356,17.9047,17.5817,17.2679,16.9638,16.6693,16.3844,16.1089,15.8425,15.5850,15.3360,15.0953,14.8627,14.6378
143,0.045000,0.070000,20.0000,19.9510,19.8210,19.6191,19.3709,19.0990,18.8184,18.5376,18.2609,17.9908,17.7281,17.4735,17.2269,16.9882,16.7573,16.5340,16.3180,16.1092,15.9073,15.7120,15.5232
144,0.050000,0.070000,20.0000,19.9619,19.8597,19.6996,19.5017,19.2843,19.0593,18.8339,18.6116,18.3943,18.1831,17.9781,17.7795,17.5872,17.4011,17.2210,17.0468,16.8782,16.7152,16.5574,16.4049
145,0.055000,0.070000,20.0000,19.9720,19.8963,19.7769,19.6286,19.4651,19.2957,19.1256,18.9578,18.7936,18.6337,18.4785,18.3281,18.1823,18.0411,17.9044,17.7720,17.6438,17.5198,17.3997,17.2834
146,0.060000,0.070000,20.0000,19.9816,19.9314,19.8517,19.7524,19.6427,19.5286,19.4140,19.3006,19.1895,19.0812,18.9759,18.8737,18.7745,18.6783,18.5850,18.4945,18.4069,18.3219,18.2395,18.1597
147,0.065000,0.070000,20.0000,19.9908,19.9654,19.9250,19.8743,19.8180,19.7593,19.7000,19.6411,19.5832,19.5265,19.4711,19.4172,19.3647,19.3135,19.2637,19.2153,19.1682,19.1223,19.0777,19.0343
148,0.070000,0.070000,20.0000,19.9998,19.9990,19.9974,19.9952,19.9923,19.9888,19.9848,19.9805,19.9757,19.9706,19.9653,19.9596,19.9538,19.9477,19.9415,19.9350,19.9285,19.9218,19.9150,19.9081
149,0.075000,0.070000,20.0000,19.9999,19.9995,19.9987,19.9974,19.9956,19.9933,19.9906,19.9874,19.9838,19.9799,19.9757,19.9711,19.9664,19.9613,19.9561,19.9507,19.9450,19.9393,19.9333,19.9273
150,0.080000,0.070000,20.0000,20.0000,19.9998,19.9994,19.9986,19.9975,19.9960,19.9941,19.9918,19.9891,19.9861,19.9827,19.9791,19.9752,19.9710,19.9666,19.9620,19.9572,19.9522,19.9471,19.9418
151,0.085000,0.070000,20.0000,20.0000,19.9999,19.9997,19.9992,19.9985,19.9974,19.9961,19.9943,19.9923,19.9899,19.9872,19.9842,19.9809,19.9774,19.9737,19.9697,19.9656,19.9613,19.9568,19.9522
152,0.090000,0.070000,20.0000,20.0000,19.9999,19.9998,19.9994,19.9989,19.9980,19.9969,19.9955,19.9938,19.9917,19.9894,19.9869,19.9840,19.9810,19.9778,19.9743,19.9707,19.9670,19.9630,19.9590
153,0.000000,0.080000,20.0000,17.5869,16.4501,15.6631,15.0259,14.4687,13.9596,13.4828,13.0301,12.5968,12.1803,11.7790,11.3919,11.0183,10.6575,10.3090,9.9723,9.6471,9.3330,9.0295,8.7362
154,0.005000,0.080000,20.0000,19.0306,18.0876,17.3154,16.6519,16.0543,15.4997,14.9758,14.4759,13.9961,13.5342,13.0889,12.6592,12.2442,11.8435,11.4564,11.0825,10.7213,10.3723,10.0352,9.7095
155,0.010000,0.080000,20.0000,19.6037,19.0083,18.3816,17.7695,17.1793,16.6108,16.0625,15.5334,15.0225,14.5291,14.0526,13.5922,13.1475,12.7179,12.3029,11.9019,11.5145,11.1403,10.7788,10.4295
156,0.015000,0.080000,20.0000,19.8207,19.4477,18.9568,18.4108,17.8456,17.2798,16.7229,16.1795,15.6517,15.1404,14.6457,14.1673,13.7050,13.2582,12.8265,12.4095,12.0065,11.6173,11.2412,10.8778
157,0.020000,0.080000,20.0000,19.8766,19.5760,19.1377,18.6208,18.0687,17.5069,16.9491,16.4024,15.8702,15.3538,14.8539,14.3703,13.9028,13.4510,13.0145,12.5927,12.1852,11.7915,11.4111,11.0436
158,0.025000,0.080000,20.0000,19.8951,19.6341,19.2476,18.7872,18.2924,17.7872,17.2848,16.7918,16.3115,15.8454,15.3940,14.9573,14.5350,14.1269,13.7325,13.3514,12.9832,12.6274,12.2836,11.9515
159,0.030000,0.080000,20.0000,19.9115,19.6870,19.3497,18.9443,18.5061,18.0574,17.6104,17.1712,16.7432,16.3276,15.9250,15.5355,15.1588,14.7946,14.4426,14.1025,13.7738,13.4562,13.1492,12.8526
160,0.035000,0.080000,20.0000,19.9261,19.7353,19.4451,19.0932,18.7111,18.3186,17.9269,17.5418,17.1662,16.8014,16.4479,16.1058,15.7749,15.4550,15.1457,14.8468,14.5578,14.2786,14.0087,13.7478
161,0.040000,0.080000,20.0000,19.9392,19.7798,19.5345,19.2350,18.9083,18.5719,18.2356,17.9047,17.5817,17.2679,16.9638,16.6693,16.3844,16.1089,15.8425,15.5850,15.3360,15.0953,14.8627,14.6378
162,0.045000,0.080000,20.0000,19.9510,19.8210,19.6191,19.3709,19.0990,18.8184,18.5376,18.2609,17.9908,17.7281,17.4735,17.2269,16.9882,16.7573,16.5340,16.3180,16.1092,15.9073,15.7120,15.5232
163,0.050000,0.080000,20.0000,19.9619,19.8597,19.6996,19.5017,19.2843,19.0593,18.8339,18.6116,18.3943,18.1831,17.9781,17.7795,17.5872,17.4011,17.2210,17.0468,16.8782,16.7152,16.5574,16.4049
164,0.055000,0.080000,20.0000,19.9720,19.8963,19.7769,19.6286,19.4651,19.2957,19.1256,18.9578,18.7936,18.6337,18.4785,18.3281,18.1823,18.0411,17.9044,17.7720,17.6438,17.5198,17.3997,17.2834
165,0.060000,0.080000,20.0000,19.9816,19.9314,19.8517,19.7524,19.6427,19.5286,19.4140,19.3006,19.1895,19.0812,18.9759,18.8737,18.7745,18.6783,18.5850,18.4945,18.4069,18.3219,18.2395,18.1597
166,0.065000,0.080000,20.0000,19.9908,19.9654,19.9250,19.8743,19.8180,19.7593,19.7000,19.6411,19.5832,19.5265,19.4711,19.4172,19.3647,19.3135,19.2637,19.2153,19.1682,19.1223,19.0777,19.0343
167,0.070000,0.080000,20.0000,19.9998,19.9990,19.9974,19.9952,19.9923,19.9888,19.9848,19.9805,19.9757,19.9706,19.9653,19.9596,19.9538,19.9477,19.9415,19.9350,19.9285,19.9218,19.9150,19.9081
168,0.075000,0.080000,20.0000,19.9999,19.9995,19.9987,19.9974,19.9956,19.9933,19.9906,19.9874,19.9838,19.9799,19.9757,19.9711,19.9664,19.9613,19.9561,19.9507,19.9450,19.9393,19.9333,19.9273
169,0.080000,0.080000,20.0000,20.0000,19.9998,19.9994,19.9986,19.9975,19.9960,19.9941,19.9918,19.9891,19.9861,19.9827,19.9791,19.9752,19.9710,19.9666,19.9620,19.9572,19.9522,19.9471,19.9418
170,0.085000,0.080000,20.0000,20.0000,19.9999,19.9997,19.9992,19.9985,19.9974,19.9961,19.9943,19.9923,19.9899,19.9872,19.9842,19.9809,19.9774,19.9737,19.9697,19.9656,19.9613,19.9568,19.9522
171,0.090000,0.080000,20.0000,20.0000,19.9999,19.9998,19.9994,19.9989,19.9980,19.9969,19.9955,19.9938,19.9917,19.9894,19.9869,19.9840,19.9810,19.9778,19.9743,19.9707,19.9670,19.9630,19.9590
172,0.000000,0.090000,20.0000,17.5869,16.4501,15.6631,15.0259,14.4687,13.9596,13.4828,13.0301,12.5968,12.1803,11.7790,11.3919,11.0183,10.6575,10.3090,9.9723,9.6471,9.3330,9.0295,8.7362
173,0.005000,0.090000,20.0000,19.0306,18.0876,17.3154,16.6519,16.0543,15.4997,14.9758,14.4759,13.9961,13.5342,13.0889,12.6592,12.2442,11.8435,11.4564,11.0825,10.7213,10.3723,10.0352,9.7095
174,0.010000,0.090000,20.0000,19.6037,19.0083,18.3816,17.7695,17.1793,16.6108,16.0625,15.5334,15.0225,14.5291,14.0526,13.5922,13.1475,12.7179,12.3029,11.9019,11.5145,11.1403,10.7788,10.4295
175,0.015000,0.090000,20.0000,19.8207,19.4477,18.9568,18.4108,17.8456,17.2798,16.7229,16.1795,15.6517,15.1404,14.6457,14.1673,13.7050,13.2582,12.8265,12.4095,12.0065,11.6173,11.2412,10.8778
176,0.020000,0.090000,20.0000,19.8766,19.5760,19.1377,18.6208,18.0687,17.5069,16.9491,16.4024,15.8702,15.3538,14.8539,14.3703,13.9028,13.4510,13.0145,12.5927,12.1852,11.7915,11.4111,11.0436
177,0.025000,0.090000,20.0000,19.8951,19.6341,19.2476,18.7872,18.2924,17.7872,17.2848,16.7918,16.3115,15.8454,15.3940,14.9573,14.5350,14.1269,13.7325,13.3514,12.9832,12.6274,12.2836,11.9515
178,0.030000,0.090000,20.0000,19.9115,19.6870,19.3497,18.9443,18.5061,18.0574,17.6104,17.1712,16.7432,16.3276,15.9250,15.5355,15.1588,14.7946,14.4426,14.1025,13.7738,13.4562,13.1492,12.8526
179,0.035000,0.090000,20.0000,19.9261,19.7353,19.4451,19.0932,18.7111,18.3186,17.9269,17.5418,17.1662,16.8014,16.4479,16.1058,15.7749,15.4550,15.1457,14.8468,14.5578,14.2786,14.0087,13.7478
180,0.040000,0.090000,20.0000,19.9392,19.7798,19.5345,19.2350,18.9083,18.5719,18.2356,17.9047,17.5817,17.2679,16.9638,16.6693,16.3844,16.1089,15.8425,15.5850,15.3360,15.0953,14.8627,14.6378
181,0.045000,0.090000,20.0000,19.9510,19.8210,19.6191,19.3709,19.0990,18.8184,18.5376,18.2609,17.9908,17.7281,17.4735,17.2269,16.9882,16.7573,16.5340,16.3180,16.1092,15.9073,15.7120,15.5232
182,0.050000,0.090000,20.0000,19.9619,19.8597,19.6996,19.5017,19.2843,19.0593,18.8339,18.6116,18.3943,18.1831,17.9781,17.7795,17.5872,17.4011,17.2210,17.0468,16.8782,16.7152,16.5574,16.4049
183,0.055000,0.090000,20.0000,19.9720,19.8963,19.7769,19.6286,19.4651,19.2957,19.1256,18.9578,18.7936,18.6337,18.4785,18.3281,18.1823,18.0411,17.9044,17.7720,17.6438,17.5198,17.3997,17.2834
184,0.060000,0.090000,20.0000,19.9816,19.9314,19.8517,19.7524,19.6427,19.5286,19.4140,19.3006,19.1895,19.0812,18.9759,18.8737,18.7745,18.6783,18.5850,18.4945,18.4069,18.3219,18.2395,18.1597
185,0.065000,0.090000,20.0000,19.9908,19.9654,19.9250,19.8743,19.8180,19.7593,19.7000,19.6411,19.5832,19.5265,19.4711,19.4172,19.3647,19.3135,19.2637,19.2153,19.1682,19.1223,19.0777,19.0343
186,0.070000,0.090000,20.0000,19.9998,19.9990,19.9974,19.9952,19.9923,19.9888,19.9848,19.9805,19.9757,19.9706,19.9653,19.9596,19.9538,19.9477,19.9415,19.9350,19.9285,19.9218,19.9150,19.9081
187,0.075000,0.090000,20.0000,19.9999,19.9995,19.9987,19.9974,19.9956,19.9933,19.9906,19.9874,19.9838,19.9799,19.9757,19.9711,19.9664,19.9613,19.9561,19.9507,19.9450,19.9393,19.9333,19.9273
188,0.080000,0.090000,20.0000,20.0000,19.9998,19.9994,19.9986,19.9975,19.9960,19.9941,19.9918,19.9891,19.9861,19.9827,19.9791,19.9752,19.9710,19.9666,19.9620,19.9572,19.9522,19.9471,19.9418
189,0.085000,0.090000,20.0000,20.0000,19.9999,19.9997,19.9992,19.9985,19.9974,19.9961,19.9943,19.9923,19.9899,19.9872,19.9842,19.9809,19.9774,19.9737,19.9697,19.9656,19.9613,19.9568,19.9522
190,0.090000,0.090000,20.0000,20.0000,19.9999,19.9998,19.9994,19.9989,19.9980,19.9969,19.9955,19.9938,19.9917,19.9894,19.9869,19.9840,19.9810,19.9778,19.9743,19.9707,19.9670,19.9630,19.9590
191,0.000000,0.100000,20.0000,17.5869,16.4501,15.6631,15.0259,14.4687,13.9596,13.4828,13.0301,12.5968,12.1803,11.7790,11.3919,11.0183,10.6575,10.3090,9.9723,9.6471,9.3330,9.0295,8.7362
192,0.005000,0.100000,20.0000,19.0306,18.0876,17.3154,16.6519,16.0543,15.4997,14.9758,14.4759,13.9961,13.5342,13.0889,12.6592,12.2442,11.8435,11.4564,11.0825,10.7213,10.3723,10.0352,9.7095
193,0.010000,0.100000,20.0000,19.6037,19.0083,18.3816,17.7695,17.1793,16.6108,16.0625,15.5334,15.0225,14.5291,14.0526,13.5922,13.1475,12.7179,12.3029,11.9019,11.5145,11.1403,10.7788,10.4295
194,0.015000,0.100000,20.0000,19.8207,19.4477,18.9568,18.4108,17.8456,17.2798,16.7229,16.1795,15.6517,15.1404,14.6457,14.1673,13.7050,13.2582,12.8265,12.4095,12.0065,11.6173,11.2412,10.8778
195,0.020000,0.100000,20.0000,19.8766,19.5760,19.1377,18.6208,18.0687,17.5069,16.9491,16.4024,15.8702,15.3538,14.8539,14.3703,13.9028,13.4510,13.0145,12.5927,12.1852,11.7915,11.4111,11.0436
196,0.025000,0.100000,20.0000,19.8951,19.6341,19.2476,18.7872,18.2924,17.7872,17.2848,16.7918,16.3115,15.8454,15.3940,14.9573,14.5350,14.1269,13.7325,13.3514,12.9832,12.6274,12.2836,11.9515
197,0.030000,0.100000,20.0000,19.9115,19.6870,19.3497,18.9443,18.5061,18.0574,17.6104,17.1712,16.7432,16.3276,15.9250,15.5355,15.1588,14.7946,14.4426,14.1025,13.7738,13.4562,13.1492,12.8526
198,0.035000,0.100000,20.0000,19.9261,19.7353,19.4451,19.0932,18.7111,18.3186,17.9269,17.5418,17.1662,16.8014,16.4479,16.1058,15.7749,15.4550,15.1457,14.8468,14.5578,14.2786,14.0087,13.7478
199,0.040000,0.100000,20.0000,19.9392,19.7798,19.5345,19.2350,18.9083,18.5719,18.2356,17.9047,17.5817,17.2679,16.9638,16.6693,16.3844,16.1089,15.8425,15.5850,15.3360,15.0953,14.8627,14.6378
200,0.045000,0.100000,20.0000,19.9510,19.8210,19.6191,19.3709,19.0990,18.8184,18.5376,18.2609,17.9908,17.7281,17.4735,17.2269,16.9882,16.7573,16.5340,16.3180,16.1092,15.9073,15.7120,15.5232
201,0.050000,0.100000,20.0000,19.9619,19.8597,19.6996,19.5017,19.2843,19.0593,18.8339,18.6116,18.3943,18.1831,17.9781,17.7795,17.5872,17.4011,17.2210,17.0468,16.8782,16.7152,16.5574,16.4049
202,0.055000,0.100000,20.0000,19.9720,19.8963,19.7769,19.6286,19.4651,19.2957,19.1256,18.9578,18.7936,18.6337,18.4785,18.3281,18.1823,18.0411,17.9044,17.7720,17.6438,17.5198,17.3997,17.2834
203,0.060000,0.100000,20.0000,19.9816,19.9314,19.8517,19.7524,19.6427,19.5286,19.4140,19.3006,19.1895,19.0812,18.9759,18.8737,18.7745,18.6783,18.5850,18.4945,18.4069,18.3219,18.2395,18.1597
204,0.065000,0.100000,20.0000,19.9908,19.9654,19.9250,19.8743,19.8180,19.7593,19.7000,19.6411,19.5832,19.5265,19.4711,19.4172,19.3647,19.3135,19.2637,19.2153,19.1682,19.1223,19.0777,19.0343
205,0.070000,0.100000,20.0000,19.9998,19.9990,19.9974,19.9952,19.9923,19.9888,19.9848,19.9805,19.9757,19.9706,19.9653,19.9596,19.9538,19.9477,19.9415,19.9350,19.9285,19.9218,19.9150,19.9081
206,0.075000,0.100000,20.0000,19.9999,19.9995,19.9987,19.9974,19.9956,19.9933,19.9906,19.9874,19.9838,19.9799,19.9757,19.9711,19.9664,19.9613,19.9561,19.9507,19.9450,19.9393,19.9333,19.9273
207,0.080000,0.100000,20.0000,20.0000,19.9998,19.9994,19.9986,19.9975,19.9960,19.9941,19.9918,19.9891,19.9861,19.9827,19.9791,19.9752,19.9710,19.9666,19.9620,19.9572,19.9522,19.9471,19.9418
208,0.085000,0.100000,20.0000,20.0000,19.9999,19.9997,19.9992,19.9985,19.9974,19.9961,19.9943,19.9923,19.9899,19.9872,19.9842,19.9809,19.9774,19.9737,19.9697,19.9656,19.9613,19.9568,19.9522
209,0.090000,0.100000,20.0000,20.0000,19.9999,19.9998,19.9994,19.9989,19.9980,19.9969,19.9955,19.9938,19.9917,19.9894,19.9869,19.9840,19.9810,19.9778,19.9743,19.9707,19.9670,19.9630,19.9590
210,0.000000,0.110000,20.0000,17.5869,16.4501,15.6631,15.0259,14.4687,13.9596,13.4828,13.0301,12.5968,12.1803,11.7790,11.3919,11.0183,10.6575,10.3090,9.9723,9.6471,9.3330,9.0295,8.7362
211,0.005000,0.110000,20.0000,19.0306,18.0876,17.3154,16.6519,16.0543,15.4997,14.9758,14.4759,13.9961,13.5342,13.0889,12.6592,12.2442,11.8435,11.4564,11.0825,10.7213,10.3723,10.0352,9.7095
212,0.010000,0.110000,20.0000,19.6037,19.0083,18.3816,17.7695,17.1793,16.6108,16.0625,15.5334,15.0225,14.5291,14.0526,13.5922,13.1475,12.7179,12.3029,11.9019,11.5145,11.1403,10.7788,10.4295
213,0.015000,0.110000,20.0000,19.8207,19.4477,18.9568,18.4108,17.8456,17.2798,16.7229,16.1795,15.6517,15.1404,14.6457,14.1673,13.7050,13.2582,12.8265,12.4095,12.0065,11.6173,11.2412,10.8778
214,0.020000,0.110000,20.0000,19.8766,19.5760,19.1377,18.6208,18.0687,17.5069,16.9491,16.4024,15.8702,15.3538,14.8539,14.3703,13.9028,13.4510,13.0145,12.5927,12.1852,11.7915,11.4111,11.0436
215,0.025000,0.110000,20.0000,19.8951,19.6341,19.2476,18.7872,18.2924,17.7872,17.2848,16.7918,16.3115,15.8454,15.3940,14.9573,14.5350,14.1269,13.7325,13.3514,12.9832,12.6274,12.2836,11.9515
216,0.030000,0.110000,20.0000,19.9115,19.6870,19.3497,18.9443,18.5061,18.0574,17.6104,17.1712,16.7432,16.3276,15.9250,15.5355,15.1588,14.7946,14.4426,14.1025,13.7738,13.4562,13.1492,12.8526
217,0.035000,0.110000,20.0000,19.9261,19.7353,19.4451,19.0932,18.7111,18.3186,17.9269,17.5418,17.1662,16.8014,16.4479,16.1058,15.7749,15.4550,15.1457,14.8468,14.5578,14.2786,14.0087,13.7478
218,0.040000,0.110000,20.0000,19.9392,19.7798,19.5345,19.2350,18.9083,18.5719,18.2356,17.9047,17.5817,17.2679,16.9638,16.6693,16.3844,16.1089,15.8425,15.5850,15.3360,15.0953,14.8627,14.6378
219,0.045000,0.110000,20.0000,19.9510,19.8210,19.6191,19.3709,19.0990,18.8184,18.5376,18.2609,17.9908,17.7281,17.4735,17.2269,16.9882,16.7573,16.5340,16.3180,16.1092,15.9073,15.7120,15.5232
220,0.050000,0.110000,20.0000,19.9619,19.8597,19.6996,19.5017,19.2843,19.0593,18.8339,18.6116,18.3943,18.1831,17.9781,17.7795,17.5872,17.4011,17.2210,17.0468,16.8782,16.7152,16.5574,16.4049
221,0.055000,0.110000,20.0000,19.9720,19.8963,19.7769,19.6286,19.4651,19.2957,19.1256,18.9578,18.7936,18.6337,18.4785,18.3281,18.1823,18.0411,17.9044,17.7720,17.6438,17.5198,17.3997,17.2834
222,0.060000,0.110000,20.0000,19.9816,19.9314,19.8517,19.7524,19.6427,19.5286,19.4140,19.3006,19.1895,19.0812,18.9759,18.8737,18.7745,18.6783,18.5850,18.4945,18.4069,18.3219,18.2395,18.1597
223,0.065000,0.110000,20.0000,19.9908,19.9654,19.9250,19.8743,19.8180,19.7593,19.7000,19.6411,19.5832,19.5265,19.4711,19.4172,19.3647,19.3135,19.2637,19.2153,19.1682,19.1223,19.0777,19.0343
224,0.070000,0.110000,20.0000,19.9998,19.9990,19.9974,19.9952,19.9923,19.9888,19.9848,19.9805,19.9757,19.9706,19.9653,19.9596,19.9538,19.9477,19.9415,19.9350,19.9285,19.9218,19.9150,19.9081
225,0.075000,0.110000,20.0000,19.9999,19.9995,19.9987,19.9974,19.9956,19.9933,19.9906,19.9874,19.9838,19.9799,19.9757,19.9711,19.9664,19.9613,19.9561,19.9507,19.9450,19.9393,19.9333,19.9273
